quotation	type	source	translation	notes
Functus officio.			Having discharged his duties.	Said of one who no longer holds his former office.
Flumina jam lactis, jam flumina nectaris ibant.		ovidius	Now rivers of milk, rivers of nectar, were flowing.	A description of the happy state of man in the Golden Age.
Habet suum venenum blanda oratio.		publilius syrus	A soft speech has its poison.	
Flumina libant Summa leves.		virgilius	They lightly skim the surface of the rivers.	
Habitus corporis quiescenti quam defuncto similior.		gaius plinius caecilius secundus	The appearance of the body was more that of a person asleep than dead.	His description of the appearance of the body of his uncle, the Elder Pliny, after his death.
Fluvius cum mari certas.	proverb		You, a river, are contending with the ocean.	Said to a person of small means trying to imitate the affluent.
Foedius hoc aliquid quandoque audebis.		iunius iuvenalis	Ere long you will dare to commit some crime more base than this.	
Hac jacet in tumba rosa mundi non rosa munda.			In this tomb lies a rose of the world, but no chaste rose.	A punning epitaph placed by the monks on the tomb of fair Rosamond, in reference to her name and lax morals.
Foedum inceptu, foedum exitu.		livius	A bad beginning leads to a bad ending.	
Hac sunt in fossa Bedae venerabilis ossa.			In this grave lie the bones of venerable Bede.	Inscription on the tomb of Beda in Durham cathedral.
Hactenus invidiae respondimus.		ovidius	Thus far do I give an answer to envy.	
Hae nugae seria ducent In mala, derisum semel, exceptumque sinistre.		horatius	These trifles will lead to mischiefs of serious consequence, when once made an object of ridicule, and used in a sinister manner.	
Fundamentum est justitiae fides.		cicero	The foundation of justice is good faith.	
Foenum habet in cornu, longe fuge, dummodo risum Excutiat sibi, non hic cuiquam parcit amico.		horatius	He has hay upon his horn, fly afar from him, for so long as he can excite a laugh, he spares no friend.	The ancients used to fasten a wisp of hay to the horns of a vicious bull. The poet speaks of an unscrupulous man, ready to say anything of another, to gratify his own vanity.
Ex delicto.			From the crime.	
Funem abrumpere nimium tendendo.	proverb		To break the cord by stretching it too tight.	In allusion to the mind, which becomes enfeebled if kept intensely applied too long.
Funera plango, fulgura frango, Sabbata pango, Excito lentos, dissipo ventos, paco cruentos.			I bewail deaths, I disperse lightnings, I announce the Sabbath, I arouse the slow, I dispel the winds, I appease	
Fungar inani Munere.		virgilius	I will discharge an unavailing duty.	
Hae tibi erunt artes, pacisque imponere morem, Parcere subjectis et debellare superbos.		virgilius	These shall be thy arts, to prescribe the conditions of peace, to spare the conquered, and to subdue the proud.	The destinies of Rome.
Fungar vice cotis, acutum Reddere quae ferrum valet, exsors ipsa secandi.		horatius	I will act the part of a whetstone, which can give an edge to iron, while incapable of cutting itself.	Literary critics, like whetstones, often give to others an edge.
Ex desuetudine amittuntur privilegia.	law maxim		Rights are forfeited by non-user.	
Haec amat obscurum; volet haec sub luce videri, Judicis argutum quae non formidat acumen; Haec placuit semel; hac decies repetita placebit.		horatius	The one courts the shade; another, who is not afraid of the critic's caustic acumen, chooses to be seen in the light; the one has pleased once, the other will give pleasure if ten times repeated.	
Fons omnium viventium.			The fountain of all living things.	The Deity.
Ex diuturnitate temporis omnia praesumuntur esse solemniter acta.	law maxim		From length of time everything is presumed to have been solemnly done.	
Haec a te non multum abludit imago.		horatius	This picture bears no slight resemblance to you.	
Fontes ipsi sitiunt.	proverb		Even the fountains are athirst.	Said ironically of wealthy men who are covetous.
Haec brevis est nostrorum summa malorum.		ovidius	This is the short sum of our evils.	
Ex eodem ore calidum et frigidum efflare.			To blow hot and cold with the same mouth.	This adage is founded on the Fable of the Satyr and the Traveller.
Haec ego mecum Compressis agito labris; ubi quid datur oti, Illudo chartis.		horatius	These things I revolve by myself in silence. When I have any leisure I amuse myself with my papers.	
Ex factis non ex dictis amici pensandi.		livius	Friends are to be estimated from their deeds, not their words.	
Forma bonum fragile est.		ovidius	Beauty is a frail advantage.	
Ex facto jus oritur.	law maxim		The law arises from the fact.	Until the nature of the crime is known, the law cannot be put in force.
Forma pauperis.	law term		In form of a poor man.	See In forma, &c.
Ex habitu homines metientes.		cicero	Estimators of men from their outward appearances.	
Forma viros neglecta decet.		ovidius	A neglect of personal appearance becomes men.	
Ex humili magna ad fastigia rerum Extollit, quoties voluit fortuna jocari.		iunius iuvenalis	As oft as fortune is in sportive mood, she raises men from an humble station to the highest pinnacle of power.	
Haec facil, ut vivat vinctus quoque compede fossor; Liberaque a ferro crura futura putet.		ovidius	Hope it is that makes even the miner, bound with the fetter, to live on, and to trust that his legs will be liberated from the iron.	
Formam quidem ipsam, Marce fili, et tanquam faciem honesti vides; quae si oculis cerneretur, mirabiles amores excitaret sapientiae.		cicero	You see, my son Marcus, the very figure and features, as it were, of virtue; and, if it could only be beheld by our eyes, it would excite a marvellous love for wisdom.	
Format enim natura prius nos intus ad omnem Fortunarum habitum; juvat, aut impellit ad iram, Aut ad humum moerore gravi deducit et angit; Post effert animi motus interprete lingua.		horatius	For nature forms us first within to every modification of circumstances; she delights us, impels us to anger, or depresses us to the earth, and afflicts us with heavy sorrow; and then expresses these emotions of the mind by the tongue, its interpreter.	
Ex inimico cogita posse fieri amicum.		seneca	Think that you may possibly make of an enemy a friend.	Avoid extremes in enmities. See Amicum, &c.
Formidabilior cervorum exercitus, duce leone, quam leonum cervo.	proverb		An army of stags would be more formidable under the command of a lion, than one of lions under the command of a stag.	Everything depends upon generalship.
Ex magna coena stomacho fit maxima poena, Ut sis nocte levis, sit tibi coena brevis.			From a heavy supper great uneasiness to the stomach is produced; that you may enjoy a good night's rest, let your supper be moderate.	A Leonine or rhyming couplet, not improbably issued by the School of Health at Salerno.
Ex malis moribus bonae leges natae sunt.		edward coke	From bad manners good laws have sprung.	
Fungino genere est, capite se totum tegit.		plautus	He is of the mushroom kind — he covers all his body with his head.	Said of a man having a petasus, or broad-brimmed hat.
Ex mero motu.			From a mere motion;	of one's own free will.
Haec perinde sunt, ut illius animus, qui ea possidet, Qui uti scit, ei bona, illi qui non utitur recte, mala.		terentius	These blessings are just according to the disposition of him who possesses them. To him who knows how to use them, they are blessings; to him who does not use them aright, they are evils.	
Ex necessitate rei.			From the urgency of the case.	
Haec prima lex in amicitia sanciatur, ut neque rogemus res turpes, nec faciamus rogati.		cicero	This is the first law to be established in friendship, that we neither ask of others that which is dishonourable, nor ourselves do it when asked.	
Fungino genere est, subito crevit de nihilo.			He is of the mushroom genus, he has suddenly sprung up from nothing.	
Haec, pro amicitia nostra, non occultavi.		suetonius	These things, in consideration of our friendship, I have not concealed from you.	Said by Tiberius to his unworthy favourite, Sejanus.
Funiculis ligatum vel puer verberaret.	proverb		A man bound with cords even a child can beat.	
Ex nihilo nihil fit.			From nothing nothing is made.	Nothing can come of nothing.
Ex officio.			By virtue of his office.	
Ex otio plus negotii quam ex negotio habemus.		old scholiast	From our leisure we get more to do, than from our business.	Especially when it gives us the opportunity of falling into mischief.
Ex parte.	law term		On one part.	Evidence given on one side only is called ex parte.
Ex pede Herculem.	proverb		You may judge of Hercules from his foot.	Pythagoras ascertained the length of the foot of Hercules by taking the length of the Olympic stadium or course, which was six hundred feet, originally measured by the foot of the hero. He thence came to the conclusion that his height was six feet seven inches. From this circumstance was formed the proverb, meaning that we may judge of the whole from the part.
Ex post facto.	law term		Done after another thing.	A law enacted purposely to take cognizance of an offence already committed, is, so far as that individual offence is concerned, an ex post facto law.
Hirundines aestivo tempore praesto sunt: frigore pulsae recedunt. Ita falsi amici.		ad herennium	The swallows in summer are among us; in cold weather they are driven away. So it is with false friends.	Such friends may justly be called fair-weather friends.
